date,lai,std
2024-01-01,2.553984674329502,0.8730589559032526
2024-01-09,5.009176245210728,0.8730589559032526
2024-01-17,4.749386973180078,0.8730589559032526
2024-01-25,5.012835249042148,0.8730589559032526
2024-02-02,4.603026819923374,0.8730589559032526
2024-02-10,3.907816091954024,0.8730589559032526
2024-02-18,3.8712260536398473,0.8730589559032526
2024-02-26,3.71388888888889,0.8730589559032526
2024-03-05,4.266398467432951,0.8730589559032526
2024-03-13,1.9026819923371652,0.8730589559032526
2024-03-21,4.057835249042147,0.8730589559032526
2024-03-29,3.56021072796935,0.8730589559032526
2024-04-06,2.963793103448276,0.8730589559032526
2024-04-14,3.3223754789272033,0.8730589559032526
2024-04-22,2.389329501915709,0.8730589559032526
2024-04-30,2.407624521072797,0.8730589559032526
2024-05-08,3.2601724137931036,0.8730589559032526
2024-05-16,2.316149425287357,0.8730589559032526
2024-05-24,2.7186398467432955,0.8730589559032526
2024-06-01,2.455191570881227,0.8730589559032526
2024-06-09,3.395555555555556,0.8730589559032526
2024-06-17,4.112720306513411,0.8730589559032526
2024-06-25,3.6443678160919553,0.8730589559032526
2024-07-03,3.8968390804597712,0.8730589559032526
2024-07-11,0.7208237547892722,0.8730589559032526
2024-07-19,4.442030651340997,0.8730589559032526
2024-07-27,4.229808429118775,0.8730589559032526
2024-08-04,3.3626245210727976,0.8730589559032526
2024-08-12,4.6286398467432965,0.8730589559032526
2024-08-20,6.092241379310346,0.8730589559032526
2024-08-28,5.422643678160921,0.8730589559032526
2024-09-05,4.215172413793105,0.8730589559032526
2024-09-13,4.013927203065134,0.8730589559032526
2024-09-21,2.714980842911878,0.8730589559032526
2024-09-29,4.4859386973180095,0.8730589559032526
2024-10-07,3.5931417624521087,0.8730589559032526
2024-10-15,2.553984674329502,0.8730589559032526
2024-10-23,4.193218390804599,0.8730589559032526
2024-10-31,2.6344827586206896,0.8730589559032526
2024-11-08,4.127356321839081,0.8730589559032526
2024-11-16,3.567528735632184,0.8730589559032526
2024-11-24,3.7029118773946363,0.8730589559032526
2024-12-02,4.716455938697319,0.8730589559032526
2024-12-10,4.156628352490423,0.8730589559032526
2024-12-18,4.394463601532568,0.8730589559032526
2024-12-26,3.9773371647509586,0.8730589559032526
2025-01-01,3.567528735632184,0.8730589559032526
2025-01-09,3.8895210727969354,0.8730589559032526
2025-01-17,3.256513409961686,0.8730589559032526
2025-01-25,4.0468582375478945,0.8730589559032526
2025-02-02,3.8639080459770128,0.8730589559032526
2025-02-10,3.256513409961686,0.8730589559032526
2025-02-18,2.7881609195402306,0.8730589559032526
2025-02-26,3.263831417624522,0.8730589559032526
2025-03-06,3.3223754789272033,0.8730589559032526
2025-03-14,2.813773946360153,0.8730589559032526
2025-03-22,2.865,0.8730589559032526
2025-03-30,4.753307515024213,0.8730589559032526
2025-04-07,5.001015228426396,0.8730589559032526
2025-04-15,4.745423834367363,0.8730589559032526
2025-04-23,5.0,0.8730589559032526
2025-05-01,4.210895492573792,0.8730589559032526
2025-05-09,3.5695431472081225,0.8730589559032526
2025-05-17,4.592893401015228,0.8730589559032526
2025-05-25,4.757360406091371,0.8730589559032526
2025-06-02,3.5179207103238155,0.8730589559032526
2025-06-10,3.133108793863646,0.8730589559032526
2025-06-18,3.350505202173163,0.8730589559032526
2025-06-26,2.986957703986071,0.8730589559032526
2025-07-04,2.457994077187866,0.8730589559032526
2025-07-12,2.444,0.8730589559032526
2025-07-20,2.1606298529857515,0.8730589559032526
2025-07-28,3.91561559502208,0.8730589559032526
2025-08-05,4.317,0.8730589559032526
2025-08-13,3.31,0.8730589559032526
2025-08-21,2.7398113514565168,0.8730589559032526
2025-08-29,2.244,0.8730589559032526
2025-09-06,3.755144314986115,0.8730589559032526
2025-09-14,2.301,0.8730589559032526
2025-09-22,2.019454878048781,0.8730589559032526
2025-09-30,1.647179268292683,0.8730589559032526
2025-10-08,1.3974365853658537,0.8730589559032526
2025-10-16,1.3394439024390241,0.8730589559032526
2025-10-24,1.3244780487804877,0.8730589559032526
2025-11-01,0.807220731707317,0.8730589559032526
2025-11-09,0.8990355289731239,0.8730589559032526
2025-11-17,0.7529695121951218,0.8730589559032526
2025-11-25,0.9166585365853657,0.8730589559032526
2025-12-03,0.8726963414634145,0.8730589559032526
2025-12-11,0.9727804878048778,0.8730589559032526
2025-12-19,0.9830695121951221,0.8730589559032526
2025-12-27,0.8324756097560974,0.8730589559032526
